model_id,model_type,estimand,outcome,treatment,instrument,estimate,std_error,confidence_low,confidence_high,p_value,first_stage_f,n_obs,n_countries,sample_name,fixed_effects,cluster_level,corpus_version,stance_version,run_id,git_commit,r_squared
rf_year_all_available,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.0683897612182178,0.06524615983517904,-0.1962722344951687,0.059492712058733105,0.29458843155443715,,7719,179,all_available,year,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.023555831554380013
rf_year_verified_complete,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.0683897612182178,0.06524615983517904,-0.1962722344951687,0.059492712058733105,0.29458843155443715,,7719,179,verified_complete,year,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.023555831554380013
rf_year_original_untruncated,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.1021625774115739,0.08549661806161414,-0.26973594881233764,0.06541079398918982,0.23218415383048258,,4086,179,original_untruncated,year,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.02480035684406645
rf_year_validation_available,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.0728492229545514,0.06511777474847809,-0.20048006146156847,0.05478161555246566,0.2632905942763299,,7654,179,validation_available,year,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.023996392072848094
rf_region_all_available,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.07213288034593326,0.06348075036591908,-0.19655515106313465,0.05228939037126812,0.2558683006699799,,7719,179,all_available,region,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.007408791811786775
rf_region_verified_complete,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.07213288034593326,0.06348075036591908,-0.19655515106313465,0.05228939037126812,0.2558683006699799,,7719,179,verified_complete,region,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.007408791811786775
rf_region_original_untruncated,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.10322214465559393,0.08546472956397676,-0.27073301460098836,0.06428872528980051,0.22720396269489912,,4086,179,original_untruncated,region,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.0068480401286341586
rf_region_validation_available,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.07658708554756188,0.06338359172897742,-0.20081892533635765,0.047644754241233864,0.22696506626133334,,7654,179,validation_available,region,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.006848135329701632
rf_region_year_all_available,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.06633495829341854,0.06453374358572676,-0.192821095721443,0.06015117913460591,0.3040240538237758,,7719,179,all_available,"region,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.030591691643279906
rf_region_year_verified_complete,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.06633495829341854,0.06453374358572676,-0.192821095721443,0.06015117913460591,0.3040240538237758,,7719,179,verified_complete,"region,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.030591691643279906
